__lmer_samples__,expected,raw_samples,rel_pupil,rts,subID
60,expected,90,0.23781754270412964,621,47
60,expected,90,0.1551531014871847,409,47
60,expected,90,-0.0013990018967048544,627,47
60,unexpected,90,0.024289367635542635,655,47
60,expected,90,-0.06736569094128173,620,47
60,expected,80,0.23579249034721972,450,47
60,expected,90,0.04626932858174641,568,47
60,unexpected,90,0.03484406500585422,447,47
60,unexpected,90,0.00432524406513819,523,47
60,expected,90,0.0037012108218573924,660,47
60,expected,90,0.10131126130220988,868,47
60,expected,80,0.2057755653142495,869,47
60,unexpected,90,0.14544821075361258,1008,47
60,expected,90,0.04036669811992266,664,47
60,expected,90,-0.057068518910429855,808,47
60,expected,90,0.07351659993097157,674,47
60,expected,90,-0.11047645581989451,511,47
60,expected,80,-0.07423295799407148,590,47
60,expected,90,0.1770151113961877,814,47
60,unexpected,90,0.1058214036882005,851,47
60,expected,90,0.08136790637369704,511,47
60,expected,90,-0.06473711724441614,464,47
60,expected,90,0.13461586438912346,827,47
60,expected,80,0.08704777645878155,445,47
60,unexpected,90,0.018668403635678964,610,47
60,expected,90,0.11847874467902808,412,47
60,unexpected,90,0.11580945480576106,608,47
60,expected,90,0.03228779309373166,652,47
60,expected,90,-0.024460089502396885,820,47
60,unexpected,80,0.02632857547056906,584,47
60,expected,90,0.051209841278376,527,47
60,expected,90,0.06096707254370633,830,47
60,unexpected,90,0.17432822267868855,524,47
60,expected,90,0.1484009012022776,449,47
60,expected,90,0.10178174240360302,787,47
60,expected,80,-0.10255925469591362,410,47
60,unexpected,90,0.16169140030686405,475,47
60,expected,90,0.13079082923205892,939,47
60,expected,90,-0.13861803716675958,491,47
60,expected,90,0.05982834568198627,649,47
60,expected,90,-0.1335029420264251,438,47
60,expected,80,0.22876501133265575,462,47
60,expected,90,0.011636503349672589,563,47
60,expected,90,0.11156558794220665,554,47
60,expected,90,-0.13812635594453485,641,47
60,unexpected,90,0.23526136773957368,690,47
60,expected,90,0.07147874352660186,1703,47
60,expected,80,-0.11180963038840042,605,47
60,expected,90,0.019199474264330618,646,47
60,expected,90,0.03681844595268595,435,47
60,expected,90,0.033484970909728906,498,47
60,expected,90,0.09223118138853895,522,47
60,expected,90,0.15672823977370998,696,47
60,expected,80,-0.1203638919126877,576,47
60,expected,90,-0.0320639166732827,599,47
60,expected,90,0.04748984019417755,635,47
60,expected,90,0.1418434502036728,608,47
60,expected,90,-0.07322579242432732,511,47
60,unexpected,90,0.06672067085727122,655,47
60,expected,80,0.17668980815323793,620,47
60,unexpected,90,0.1058593959050758,581,47
60,expected,90,0.04489898238368299,659,47
60,expected,90,-0.09427474547276145,541,47
60,unexpected,90,0.24859747720310493,538,47
60,expected,90,-0.04042228619493251,531,47
60,expected,80,0.07822910468753656,592,47
60,expected,90,0.025165316224390645,566,47
60,expected,90,-0.17980940773371432,500,47
60,expected,90,0.2128062529310744,825,47
60,expected,90,0.11631625501814975,433,47
60,unexpected,90,-0.08139609971582673,531,47
60,expected,80,0.2807773896256449,1106,47
60,expected,90,-0.06293088887472105,484,47
60,expected,90,0.02551729215878007,587,47
60,expected,90,-0.18010898107658374,564,47
60,expected,90,0.118133667589058,622,47
60,expected,90,-0.1374936850303357,523,47
60,expected,80,0.22976393519100796,602,47
60,expected,90,0.009524082756578567,889,47
60,expected,90,0.2022165306967248,433,47
60,unexpected,90,-0.036398758671680874,552,47
60,expected,90,-0.09979904857342055,601,47
60,expected,90,0.16003262096523532,621,47
60,expected,80,-0.13436360281335752,461,47
60,unexpected,90,0.11746835953322536,636,47
60,expected,90,-0.05103649243983135,720,47
60,expected,90,0.044578494174692465,544,47
60,expected,90,-0.03855616273411759,762,47
60,expected,90,-0.05805472601196966,658,47
60,expected,80,0.11684684651994356,554,47
60,expected,90,0.08834336603232655,622,47
60,expected,90,-0.13386556224323823,637,47
60,expected,90,-0.05582537116602819,592,47
60,unexpected,90,0.21324281250219404,416,47
60,expected,90,-0.24716978473401058,565,47
60,unexpected,80,0.12019742094581312,580,47
60,expected,90,-0.14238596262482517,765,47
60,expected,90,0.1354384778213809,556,47
60,expected,90,0.01860604439630511,733,47
60,expected,90,-0.17713380028715647,621,47
60,expected,90,0.3088055375093052,566,47
60,expected,80,-0.1288349765870483,494,47
60,expected,90,0.2202301469865934,687,47
60,expected,90,0.21255536659752075,837,47
60,unexpected,90,-0.26667455176971133,688,47
60,expected,90,0.24292895949826732,605,47
60,expected,90,-0.24148324306441654,549,47
60,expected,80,0.17710224295276364,674,47
60,expected,90,-0.09471274354139356,431,47
60,unexpected,90,-0.0017321279277355828,582,47
60,expected,90,0.05461396527758748,452,47
60,expected,90,-0.0159604371025313,931,47
60,expected,90,0.13069072406651894,652,47
60,expected,80,-0.09557295580905541,564,47
60,expected,90,0.020685330496249897,572,47
60,expected,90,0.1664135923483935,713,47
60,expected,90,-0.02364261840989825,469,47
60,expected,90,-0.08188111935860709,589,47
60,expected,90,0.10831964799539939,429,47
60,expected,80,-0.05451243485410786,633,47
60,unexpected,90,-0.23939843348564865,494,47
60,expected,90,0.39387831168113163,494,47
60,expected,90,-0.46263650672577905,508,47
60,expected,90,0.3207517108001121,471,47
60,expected,90,-0.13863205287093364,660,47
60,unexpected,80,-0.06784034892382103,596,47
60,expected,90,-0.009262345272070061,553,47
60,expected,90,0.012681146248751319,522,47
60,expected,90,-0.07049608791089627,543,47
60,expected,90,0.0035729158026608586,384,47
60,expected,90,0.13797537944040306,697,47
60,expected,80,-0.2718692026841788,473,47
60,expected,90,0.1504935385508112,475,47
60,expected,90,-0.04559660146515321,463,47
60,expected,90,-0.01050057417704986,414,47
60,unexpected,90,-0.06546372155192795,400,47
60,expected,90,0.02863201397668953,884,47
60,unexpected,80,-0.13362334627371664,492,47
60,expected,90,0.0012500570963622337,560,47
60,expected,90,-0.19271151313751958,612,47
60,expected,90,0.030671311700405823,576,47
60,unexpected,90,-0.027474639694074644,768,47
60,expected,90,-0.06750350541686653,497,47
60,expected,80,0.23357885375192827,681,47
60,expected,90,-0.08135827966415374,458,47
60,unexpected,90,0.06300344463173743,525,47
60,expected,90,-0.04715744396113401,540,47
60,expected,90,-0.11993842460294513,678,47
60,expected,90,-0.009639015704076038,571,47
60,expected,80,0.27100783593336375,599,47
60,expected,90,-0.03163071036541556,595,47
60,expected,90,-0.1180957674313016,531,47
60,expected,90,0.26895368853231943,1211,47
60,expected,90,-0.0605831264335774,452,47
60,expected,90,-0.13941839433393372,505,47
60,unexpected,80,-0.008573396922053477,777,47
60,expected,90,0.26365744830225213,492,47
60,unexpected,90,-0.16328289563739756,581,47
60,expected,90,0.1427285155884243,706,47
